Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount
杏仁ミル,315000,17788644,36724,76987
高雄林小姐,104000,27311486,5534,20894
紅月,88300,92188,0,0
鳥羽樂奈,45200,2070824,9969,114853
璐洛洛,40700,3523007,12723,37229
香草奈若,37800,2610755,15904,124134
虎妮,34800,1069136,2128,3673
悠白,31700,772773,8483,125735
兔姬,27600,883536,4965,9727
Asa Ifrit,24100,746448,5827,15841
喵太,21900,524796,4029,5899
Naya,18600,4629865,791,4154
空,18500,1187755,1061,6152
虛擬熊頭,17200,60438,11263,33455
鼠屋栗太,13100,92384,939,2599
三毛,11200,331827,7966,203082
諳石,11100,2572105,371,1203
一介,10700,731884,0,0
夏玥白夜,10700,161821,0,0
水野魚娜,10700,367041,2656,9635
如月ルミィ,10500,203931,4291,9039
灰名,10400,144914,1880,4115
藤乃熊,10200,41591,323,722
平平子,8620,68718,3570,13415
星見遙,6860,179225,1132,2504
蕾兒,6740,123625,1822,2957
風絮,6340,30849,192,445
魔法!,5530,1724150,551,985
TSMATCH火柴,5440,110001,809,1673
いくせん,5220,320380,307,724
姬宮優花,5180,84255,729,2312
夏日葵,5040,283405,647,1864
LMPAPER,4770,411974,146,512
邱可,4620,34510,985,4619
Lumina,4090,141770,221,309
綾賢ラピス,3890,40712,716,1740
綾瑞香,3710,67277,1505,8959
夏莎莎,3520,16032,2522,5334
祈霓,3500,20156,1299,7027
蝦拉拉,3360,102599,733,978
楠橋詩耶,3210,89403,358,629
瀰婭,3060,170502,305,789
明石巴,3040,15396,167,196
Joyce昕,3030,301861,164,407
観空部,2950,136616,569,717
櫻野露,2520,63847,446,956
卡滋可可,2460,91311,250,2621
南琳,2430,14639,127,604
星形KARAS,2380,370215,189,384
奶茶,2340,3705,107,265
撇嘴耳包前滾翻,2320,128141,534,623
櫻坂くりこ,2250,88816,249,396
仙貝兔兔,2190,108216,252,1067
十五號,2180,6344,3258,4314
蘭希,2150,234759,336,646
Shaya,2100,84361,344,1456
藤本莉子,2090,26112,200,701
墨子,2070,61447,74,130
喵控,1900,31432,143,309
雨宮夢,1850,40406,183,394
草莓電波,1850,21237,1793,1793
ウイル,1830,43326,416,748
水手緞帶,1800,81270,238,734
希爾艾姆,1740,32745,143,495
蛋塔レイ,1730,62672,60,285
西園寺兆兆,1670,31163,279,455
紅茶拿鐵,1640,60096,340,476
南心詠,1590,38369,334,600
小森,1580,9057,1763,2681
狐媚娘‧達亞,1570,25367,342,651
結月,1550,39740,0,0
希莉亞,1520,43192,570,2092
幽々魅,1520,30072,57,143
凌千歌,1500,37541,214,301
雙命裂,1490,53853,51,162
罐罐,1430,67730,162,296
阿紋,1420,63461,103,313
艾黎,1410,12544,449,922
煌煌,1370,62513,0,0
詠星優宇奈,1370,13506,581,1126
雨恩,1340,400318,141,248
天堂島灯粋,1340,18878,0,0
CiCiCi cirycle 的 荒荒荒,1320,74856,100,609
神無月ミハル,1320,28718,211,271
MxM•Mir,1290,40426,101,208
尤里‧佛瑞斯特,1290,19691,380,615
森奈リヤ,1280,21884,156,1539
鴨鴨山,1280,49837,291,4921
喵朵伊,607,18051,141,584
鴨鴨伊比,262,4460,167,268
