Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount
杏仁ミル,313000,17649577,35791,86260
高雄林小姐,104000,27263746,5625,20840
紅月,88300,91690,0,0
鳥羽樂奈,44500,1988991,10027,112862
璐洛洛,39900,3398962,13367,32731
香草奈若,35000,2312088,14160,108102
虎妮,34800,1060294,2649,3575
悠白,30900,748185,8379,124730
兔姬,27300,876128,4863,9528
Asa Ifrit,23600,727884,5599,15602
喵太,21900,519954,5817,34071
Naya,18600,4627596,889,4144
空,18300,1182657,1080,6133
鼠屋栗太,13100,86862,961,2565
諳石,11100,2566484,390,1156
三毛,10800,316972,8135,196475
一介,10700,729900,0,0
夏玥白夜,10700,161590,0,0
灰名,10400,139975,2126,4086
水野魚娜,10200,350024,2613,11060
虛擬熊頭,9570,0,15978,15978
藤乃熊,9400,40428,328,741
如月ルミィ,8600,176667,3834,6773
平平子,7560,54254,2967,12595
星見遙,6520,169983,1161,2494
蕾兒,6330,116748,1704,2919
風絮,6310,29652,199,475
魔法!,5530,1721489,392,971
TSMATCH火柴,5420,106195,809,1666
いくせん,5200,318860,342,2129
姬宮優花,5090,117201,741,2238
夏日葵,4900,281004,636,1822
LMPAPER,4770,411537,158,494
Lumina,3980,140825,222,307
綾賢ラピス,3860,40618,735,1732
綾瑞香,3440,78741,1379,8376
蝦拉拉,3340,100150,903,2958
楠橋詩耶,3150,88107,378,1504
明石巴,3050,15244,193,193
祈霓,3050,15146,1211,6398
瀰婭,3040,170234,279,785
Joyce昕,3020,301078,160,400
観空部,2940,135288,593,947
邱可,2550,19454,451,3954
櫻野露,2460,61922,444,855
卡滋可可,2420,90286,254,2592
星形KARAS,2370,369280,160,343
奶茶,2340,3683,101,265
撇嘴耳包前滾翻,2320,127817,521,582
櫻坂くりこ,2240,87483,259,391
仙貝兔兔,2170,103423,218,913
蘭希,2140,227987,327,646
Shaya,2080,82483,461,1404
藤本莉子,2080,25735,216,684
墨子,2070,61030,62,66
喵控,1890,30483,146,307
草莓電波,1850,21077,1731,1731
雨宮夢,1840,39487,174,385
水手緞帶,1780,80208,232,725
ウイル,1770,41578,475,3373
十五號,1760,4314,2183,3493
希爾艾姆,1730,32546,154,494
蛋塔レイ,1730,72992,62,280
西園寺兆兆,1650,29814,261,405
紅茶拿鐵,1630,59719,392,454
南心詠,1580,38180,455,514
狐媚娘‧達亞,1550,23957,379,648
結月,1540,39633,0,0
幽々魅,1510,29942,60,125
小森,1360,7333,1746,2267
鴨鴨山,1240,42954,288,4074
喵朵伊,593,17248,137,581
鴨鴨伊比,246,4015,165,523
