Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount
杏仁ミル,313000,17541194,35709,86134
高雄林小姐,104000,27263746,5625,20837
紅月,88300,91690,0,0
鳥羽樂奈,44500,1988991,9864,112801
璐洛洛,39900,3398962,12512,32719
香草奈若,35000,2220373,14159,107325
虎妮,34800,1060294,2639,3574
悠白,30900,748185,8377,124704
兔姬,27200,876128,4854,9522
Asa Ifrit,23600,722279,5595,15584
喵太,21900,518293,11302,34042
Naya,18600,4626845,889,4143
空,18300,1182657,1080,6133
鼠屋栗太,13100,86862,957,2565
諳石,11100,2566484,387,1154
三毛,10800,309863,8123,196200
一介,10700,729900,0,0
夏玥白夜,10700,161590,0,0
灰名,10400,139975,2126,4085
水野魚娜,10200,350024,2613,11056
虛擬熊頭,9380,0,12944,12944
藤乃熊,9370,40184,328,741
如月ルミィ,8570,176667,3814,6721
平平子,7510,45073,2958,12527
星見遙,6510,167985,1161,2494
蕾兒,6330,116748,1699,2919
風絮,6310,29652,199,475
魔法!,5530,1720745,391,971
TSMATCH火柴,5410,106195,799,1665
いくせん,5190,318860,342,2129
姬宮優花,5090,116361,775,2231
夏日葵,4900,281004,635,1820
LMPAPER,4770,411537,158,493
Lumina,3980,140825,220,307
綾賢ラピス,3860,40618,734,1726
綾瑞香,3430,78741,1150,8335
蝦拉拉,3340,100150,901,2957
楠橋詩耶,3150,88107,380,1503
明石巴,3050,15244,193,193
瀰婭,3040,170151,279,784
Joyce昕,3020,301078,160,400
祈霓,3010,15146,1204,6345
観空部,2940,135288,590,947
邱可,2550,19454,451,3950
櫻野露,2460,61922,444,854
卡滋可可,2420,90286,254,2592
星形KARAS,2370,369280,160,342
奶茶,2340,3574,101,265
撇嘴耳包前滾翻,2320,127740,518,581
櫻坂くりこ,2240,87483,258,387
仙貝兔兔,2170,103423,218,906
蘭希,2140,227987,326,646
Shaya,2090,82143,461,1403
藤本莉子,2080,25735,215,684
墨子,2070,61030,62,66
喵控,1890,30483,146,307
草莓電波,1850,21077,1729,1729
雨宮夢,1840,39487,174,385
水手緞帶,1780,80208,232,725
ウイル,1770,41578,474,3364
十五號,1760,3261,2157,3471
希爾艾姆,1730,32529,154,494
蛋塔レイ,1730,72992,62,280
西園寺兆兆,1650,29784,261,405
紅茶拿鐵,1630,59719,392,454
南心詠,1580,38180,455,514
狐媚娘‧達亞,1550,23957,379,648
結月,1540,39633,0,0
幽々魅,1510,29942,60,122
小森,1360,7333,1744,2263
鴨鴨山,1230,42954,288,3783
喵朵伊,592,17248,137,581
鴨鴨伊比,245,4015,165,522
