Name,SubscriberCount,ViewCount,MedianViewCount,HighestViewCount,HighestViewedVideoURL
鬼鬼,809000,253120027,17314,137686,https://www.youtube.com/watch?v=X4ul5iQNmt4
杏仁ミル,316000,17899388,40707,80056,https://www.youtube.com/watch?v=Aub9OExS65o
高雄林小姐,104000,27383936,5137,12514,https://www.youtube.com/watch?v=1fKbpLdgcq4
紅月,88200,92794,0,0,
鳥羽樂奈,46300,2260164,10103,23361,https://www.youtube.com/watch?v=56hoe7Dn5CM
璐洛洛,41500,3655797,9972,39174,https://www.youtube.com/watch?v=VV4mCRruDQE
香草奈若,39500,2984411,16338,136534,https://www.youtube.com/watch?v=KkmDmsruADg
虎妮,34800,1079139,2204,3748,https://www.youtube.com/watch?v=fmv5LHNStgc
悠白,32200,795436,7416,14712,https://www.youtube.com/watch?v=GND-peHk1X4
兔姬,27800,894423,5064,9924,https://www.youtube.com/watch?v=Xa0KuVZ8R4c
Asa Ifrit,24400,776826,4978,12277,https://www.youtube.com/watch?v=8aRq-sPUV2A
喵太,22000,533166,1665,4144,https://www.youtube.com/watch?v=lcVphhWRgS0
虛擬熊頭,20700,138692,8911,39120,https://www.youtube.com/watch?v=gGEpLAatY1Q
空,18700,1201884,1121,3914,https://www.youtube.com/watch?v=YG9YTUDP_X0
Naya,18600,4637877,787,4172,https://www.youtube.com/watch?v=hL2K9C00Xm0
鼠屋栗太,13300,101576,956,2724,https://www.youtube.com/watch?v=UsEvOYoe1zM
如月ルミィ,12100,256503,5829,10802,https://www.youtube.com/watch?v=cT0Qo0VtEK0
三毛,11500,350649,6317,207211,https://www.youtube.com/watch?v=6w_OBgAqGx0
藤乃熊,11500,44108,328,627,https://www.youtube.com/watch?v=tw0n_iEKVI4
水野魚娜,11200,395701,2590,6019,https://www.youtube.com/watch?v=NGhoNQlEQrY
諳石,11100,2583528,345,1145,https://www.youtube.com/watch?v=-P07VF_ujP0
灰名,10900,159646,1911,4695,https://www.youtube.com/watch?v=MDjIlRa2Wxs
一介,10700,735565,0,0,
夏玥白夜,10700,162149,0,0,
平平子,9430,90158,4007,13955,https://www.youtube.com/watch?v=648CcpKzpJs
星見遙,7320,195187,1176,2223,https://www.youtube.com/watch?v=8PgyZki1zuo
蕾兒,7270,132307,1847,2476,https://www.youtube.com/watch?v=9RrqhOnk1ms
風絮,6350,32952,192,432,https://www.youtube.com/watch?v=xQ457hEIPoY
魔法!,5530,1728576,388,709,https://www.youtube.com/watch?v=b8YrgL8dIio
TSMATCH火柴,5480,112945,726,1695,https://www.youtube.com/watch?v=gG_PLQKUHzQ
いくせん,5250,323917,340,518,https://www.youtube.com/watch?v=vYS_MuNBehc
姬宮優花,5210,85729,762,866,https://www.youtube.com/watch?v=DGq_DfnOaW8
夏日葵,5130,287471,537,1887,https://www.youtube.com/watch?v=V3fv5fWTQyA
邱可,4960,40442,979,4778,https://www.youtube.com/watch?v=WOTJy-LDPqs
LMPAPER,4780,412844,116,217,https://www.youtube.com/watch?v=ZQbYsJgqtGU
十五號,4150,35925,3588,10783,https://www.youtube.com/watch?v=oKBlaZAbjB4
Lumina,4120,144656,257,534,https://www.youtube.com/watch?v=hc_-S0n4qok
綾賢ラピス,3960,42580,700,1584,https://www.youtube.com/watch?v=Qf9wfh5WgHY
綾瑞香,3890,72038,1306,3585,https://www.youtube.com/watch?v=OrsVQrySyE0
夏莎莎,3790,23537,2376,5826,https://www.youtube.com/watch?v=QM2JsaYln8o
祈霓,3740,27510,1287,7367,https://www.youtube.com/watch?v=Z7S_HQkr8hY
蝦拉拉,3410,103596,785,792,https://www.youtube.com/watch?v=Uq0KXyQbAEU
楠橋詩耶,3270,91520,348,773,https://www.youtube.com/watch?v=r-vY2Sv42yY
瀰婭,3130,171704,342,806,https://www.youtube.com/watch?v=pqfIXEltovk
明石巴,3040,15420,179,199,https://www.youtube.com/watch?v=s7jUfsNuo6Q
Joyce昕,3030,303067,151,410,https://www.youtube.com/watch?v=DzJXz5mzniA
観空部,2970,138353,498,750,https://www.youtube.com/watch?v=FfFvxmfckeo
櫻野露,2590,66930,428,982,https://www.youtube.com/watch?v=BK_zYxszMwo
卡滋可可,2500,92876,227,458,https://www.youtube.com/watch?v=EnJihplOd8k
南琳,2450,15773,123,595,https://www.youtube.com/watch?v=35tk-nTWvBE
星形KARAS,2400,371195,164,431,https://www.youtube.com/watch?v=hhm7jVBBhJk
奶茶,2360,3851,98,142,https://www.youtube.com/watch?v=wERgyujuPQs
撇嘴耳包前滾翻,2330,128936,429,684,https://www.youtube.com/watch?v=YrZJ6iC0QX4
櫻坂くりこ,2250,90524,247,398,https://www.youtube.com/watch?v=9CoKmd8M18Y
仙貝兔兔,2210,115922,333,1365,https://www.youtube.com/watch?v=ZEiRbdVzFVM
蘭希,2170,295266,388,388,https://www.youtube.com/watch?v=rCYnwHMAzJQ
藤本莉子,2140,27861,224,856,https://www.youtube.com/watch?v=ye1gxryIq0M
Shaya,2120,86509,322,639,https://www.youtube.com/watch?v=crdi8psZ2x0
墨子,2070,61686,76,146,https://www.youtube.com/watch?v=rxXGMd6L0qc
喵控,1930,33147,143,547,https://www.youtube.com/watch?v=H39mhx40Y1Q
ウイル,1900,47067,339,1009,https://www.youtube.com/watch?v=hPcGaZaaUfg
雨宮夢,1860,41072,185,325,https://www.youtube.com/watch?v=btfcXTUcAOI
草莓電波,1860,21462,1898,1898,https://www.youtube.com/watch?v=E81d7iSEjcA
水手緞帶,1820,82346,229,746,https://www.youtube.com/watch?v=wPSY6AM7X84
希爾艾姆,1800,33870,113,268,https://www.youtube.com/watch?v=I9yWCjFEEHo
蛋塔レイ,1730,63256,34,114,https://www.youtube.com/watch?v=UxGS19cpuYM
西園寺兆兆,1700,33645,307,483,https://www.youtube.com/watch?v=xhpb-rxCq20
小森,1680,10615,1713,2742,https://www.youtube.com/watch?v=Ru6_S3uKdS4
紅茶拿鐵,1650,60453,334,511,https://www.youtube.com/watch?v=v6_1uNoEjk4
南心詠,1600,39008,392,640,https://www.youtube.com/watch?v=LHkeW_-G424
狐媚娘‧達亞,1600,28137,352,506,https://www.youtube.com/watch?v=iJ0MEzNvtK0
結月,1560,40275,194,194,https://www.youtube.com/watch?v=evZtRJ4kHNY
希莉亞,1560,45805,531,2299,https://www.youtube.com/watch?v=1uc70H93grw
艾黎,1560,14865,494,968,https://www.youtube.com/watch?v=7EszHOpYJSY
幽々魅,1530,30317,71,165,https://www.youtube.com/watch?v=ZMn6RwrUz44
凌千歌,1510,37837,228,312,https://www.youtube.com/watch?v=WIJBONaxpBk
雙命裂,1500,64586,35,128,https://www.youtube.com/watch?v=FjWoifV8HqE
斜胖,1490,26396,562,1142,https://www.youtube.com/watch?v=nOKQLVhLv6M
罐罐,1440,69103,149,307,https://www.youtube.com/watch?v=ZJRyiTeKt8Y
阿紋,1430,64160,100,316,https://www.youtube.com/watch?v=CmQ1pZxyNXw
詠星優宇奈,1420,14744,482,1160,https://www.youtube.com/watch?v=rod82tsBuhM
煌煌,1380,63526,0,0,
尤里‧佛瑞斯特,1360,21186,399,632,https://www.youtube.com/watch?v=DnnA_C8whHk
雨恩,1350,402639,138,250,https://www.youtube.com/watch?v=OlOMlHktiek
CiCiCi cirycle 的 荒荒荒,1350,77752,99,891,https://www.youtube.com/watch?v=7GgOfQ426eg
神無月ミハル,1350,29329,216,278,https://www.youtube.com/watch?v=A0D3qQHddvw
莉莉絲‧伊芙莉登,1340,31180,962,7531,https://www.youtube.com/watch?v=4SHhAYnAvNg
天堂島灯粋,1340,19466,454,454,https://www.youtube.com/watch?v=Lq7FppXHekI
鴨鴨山,1320,52376,333,5089,https://www.youtube.com/watch?v=QvYXybjbqt0
桐櫻,1300,1401,0,0,
MxM•Mir,1290,40622,102,210,https://www.youtube.com/watch?v=4Gqw2hjsq8Q
森奈リヤ,1290,21954,844,1562,https://www.youtube.com/watch?v=DRBAX5gUOE8
周默,1270,28183,265,346,https://www.youtube.com/watch?v=sgBZPKXHc84
喵比,1260,59071,169,287,https://www.youtube.com/watch?v=-xCcKJrnPJc
